0.000000    0.000000
5.722082    5.722082
17.639221	17.639221
23.500413	23.500413	
33.553471	33.553471	
38.876769	38.876769	
45.053279	45.053279	
48.558865	48.558865	
60.077221	60.077221	
66.606144	66.606144	
71.354452	71.354452	
80.164788	80.164788	
85.469538	85.469538	
98.397548	98.397548	
104.796635	104.796635	
111.529587	111.529587	
118.021413	118.021413	
125.180971	125.180971	
131.728442	131.728442	
140.371846	140.371846	
147.123346	147.123346	
158.548962	158.548962	
167.136721	167.136721	
175.501904	175.501904	
185.684798	185.684798	
195.608019	195.608019	
204.622385	204.622385	
213.673846	213.673846	
222.669663	222.669663	
228.957462	228.957462	
235.059779	235.059779	
244.834615	244.834615	
253.199798	253.199798	
259.172279	259.172279	
262.548029	262.548029	
268.056808	268.056808	
275.438942	275.438942	
284.805721	284.805721	
291.928183	291.928183	
298.809519	298.809519	
308.899673	308.899673	
313.722173	313.722173	
325.796971	325.796971	
336.091154	336.091154	
344.159567	344.159567	
347.776442	347.776442	
352.209433	352.209433	
356.605327	356.605327	
361.770966	361.770966	
364.775755	364.775755	
371.879668	371.879668	
378.733183	378.733183	
387.051995	387.051995	
392.876091	392.876091	
393.145038	393.145038	
398.180841	398.180841	
403.606154	403.606154	
411.424168	411.424168	
419.316375	419.316375	
425.140471	425.140471	
432.615346	432.615346	
439.172091	439.172091	
448.167909	448.167909	
451.719865	451.719865	
460.724957	460.724957	
465.120851	465.120851	
468.876837	468.876837	
473.319101	473.319101	
479.347226	479.347226	
485.560832	485.560832	
491.227269	491.227269	
497.774740	497.774740	
501.790399	501.790399	
511.416851	511.416851	
520.950562	520.950562	
527.525856	527.525856	
537.356337	537.356337	
547.557779	547.557779	
552.231894	552.231894	
558.547514	558.547514	
564.863135	564.863135	
568.850971	568.850971	
578.505245	578.505245	
587.389774	587.389774	
593.046938	593.046938	
604.862062	604.862062	
610.890187	610.890187	
615.601399	615.601399	
625.960500	625.960500	
635.466389	635.466389	
643.145293	643.145293	
649.340351	649.340351	
655.071707	655.071707	
662.537308	662.537308	
668.454144	668.454144	
676.375721	676.375721	
685.558432	685.558432	
695.679011	695.679011	
704.857056	704.857056	
715.518893	715.518893	
719.746299	719.746299	
724.416977	724.416977	
736.702586	736.702586	
745.129403	745.129403	
751.218548	751.218548	
758.632841	758.632841
768.529452	768.529452	
